,smiles,Dissocation energy (nucleofuge),Dissociation energy (electrofuge),Electroaccepting power(w+),Electrodonating power (w-),Electronegativity (chi=-mu),Electronic chemical potential (mu),Electronic chemical potential (mu+),Electronic chemical potential (mu-),Electrophilicity index (w=omega),Global Dual Descriptor Deltaf+,Global Dual Descriptor Deltaf-,Hardness (eta),Hyperhardness (gamma),Net Electrophilicity,Softness (S)
0,NS(=O)(=O)c1ccc(NC(=O)NCc2ccccc2OC(F)F)cc1,0.0300241962175101,0.3544839617063681,0.026,0.189,0.162,-0.162,-0.31,-0.015,0.045,-0.518,0.518,0.295,0.28,0.215,3.385
1,CC(C)(C)NCc1cc(Cl)cc(Br)c1,0.0431069549120433,0.3380570146938502,0.016,0.163,0.147,-0.147,-0.303,0.008,0.035,-0.789,0.789,0.311,0.303,0.179,3.212
2,CCC(C)N(C)CC(=O)Nc1ccc(CN)cc1,0.0515225496902682,0.2996907223424664,0.008,0.132,0.124,-0.124,-0.274,0.026,0.026,-0.461,0.461,0.3,0.271,0.14,3.335
3,Cc1cnn(CC(C)NCC(=O)NCCc2cccs2)c1,0.0521472881672544,0.3220343102252647,0.01,0.145,0.135,-0.135,-0.293,0.023,0.029,-0.388,0.388,0.317,0.306,0.155,3.158
4,CNc1cccc(-c2cnc(-c3ccncc3)nc2C2CCN(C(=O)OC(C)(C)C)CC2)c1,0.0142954863263297,0.3322873711122724,0.04,0.199,0.159,-0.159,-0.28,-0.038,0.052,-0.974,0.974,0.242,0.218,0.239,4.128
5,Cc1cc(CN2C(=O)C(C3=NS(=O)(=O)c4c(CNS(C)(=O)=O)cccc43)=C(O)C2C(C)(C)C)ccc1F,0.0013229755983235,0.4020743339238413,0.093,0.293,0.2,-0.2,-0.313,-0.088,0.089,-0.865,0.865,0.225,0.213,0.385,4.45
6,CCOCCN(CC)C(CN)c1cncn1C,0.0683537392467182,0.2820877970203277,0.003,0.109,0.107,-0.107,-0.264,0.05,0.018,-0.809,0.809,0.314,0.286,0.112,3.184
7,CC=CC(=O)N1CCCC(NN=[N+]=[N-])C1,0.0392115267614238,0.3387552518151877,0.018,0.168,0.15,-0.15,-0.302,0.002,0.037,-0.733,0.733,0.304,0.296,0.185,3.287
8,CC(N)C(=O)N(C)Cc1cscn1,0.0420779738911249,0.3420626908109966,0.017,0.1669999999999999,0.15,-0.15,-0.306,0.006,0.036,-0.741,0.741,0.312,0.305,0.183,3.205
9,CCCNCC(C)(C)Oc1cccc(CC)c1,0.0583211742927644,0.3232102885348856,0.008,0.14,0.132,-0.132,-0.296,0.032,0.027,-0.831,0.831,0.328,0.327,0.148,3.049
10,Nc1ccc(OCCN2CCCC2)cc1C[C@@H]1CCN(CCOc2ccc(NC(=O)Nc3ccc(Oc4ccncc4)cc3)cc2)C1,0.0264227626442959,0.2833005246521243,0.019,0.148,0.128,-0.128,-0.249,-0.008,0.034,-0.981,0.981,0.241,0.226,0.1669999999999999,4.142
11,CCC(NC)C(=O)N(C)N=[N+]=[N-],0.020873614995772,0.3429446745432124,0.033,0.195,0.161,-0.161,-0.294,-0.028,0.049,-0.947,0.947,0.266,0.252,0.228,3.753
12,CC(C)(C)c1ccccc1Oc1ccc(CN)c(Br)c1,0.0391747774392482,0.321997560903089,0.016,0.157,0.141,-0.141,-0.288,0.005,0.034,-0.603,0.603,0.293,0.269,0.173,3.414
13,Nc1cc(Oc2ccc(NC(=O)Nc3cc(-c4ccccn4)cc(C(F)(F)F)c3)cc2)ncn1,0.0110247966526964,0.3428344265766854,0.047,0.213,0.166,-0.166,-0.285,-0.047,0.058,-0.935,0.935,0.238,0.212,0.261,4.194
14,CC(C)S(=O)(=O)CCC(=O)CC1CNc2ccccc21,0.0456426581421635,0.2944355692713478,0.01,0.134,0.124,-0.124,-0.267,0.019,0.027,-0.818,0.818,0.286,0.239,0.144,3.497
15,COc1ccc(-c2nc(C)c(C(=O)NCC3CCCNC3)s2)cc1OC,0.016610693623396,0.3124427371374188,0.033,0.181,0.148,-0.148,-0.266,-0.03,0.046,-0.569,0.569,0.237,0.219,0.215,4.228
16,CC1(C)CCC(NCc2ccc(-c3ccc4nc[nH]c4c3)cc2C(F)(F)F)CC1,0.0270107517991064,0.3238717763340474,0.024,0.173,0.148,-0.148,-0.283,-0.014,0.041,-0.424,0.424,0.269,0.246,0.197,3.718
17,COc1c(C)c(C(C)(C)N)cc(C)c1O,0.0617388612551003,0.2931125936730242,0.005,0.12,0.116,-0.116,-0.272,0.04,0.021,-0.606,0.606,0.312,0.291,0.125,3.2060000000000004
18,CC(C)CN(c1ccccc1CNC(C)C)C1CCCC1,0.0507140646024038,0.2816100558320442,0.0069999999999999,0.122,0.115,-0.115,-0.258,0.027,0.023,-0.8190000000000001,0.8190000000000001,0.286,0.245,0.129,3.5010000000000003
19,CCOC(=O)N1CC[C@H](Nc2ccc(NC(=O)c3nc(-c4ccccc4OC(F)(F)F)oc3C(F)(F)F)cc2)C1,0.0076438590125362,0.3124794864595944,0.048,0.201,0.152,-0.152,-0.257,-0.048,0.056,-0.961,0.961,0.209,0.154,0.249,4.788
20,Cc1cc(SCC(O)(CN)c2ccccc2)n(C)n1,0.0474433749287705,0.3131777235809318,0.011,0.144,0.133,-0.133,-0.284,0.018,0.029,-0.616,0.616,0.302,0.283,0.155,3.309
21,Cc1cc(N(CCC(N)=S)c2ccccc2)ncn1,0.0267167572217011,0.3143537018905528,0.023,0.1669999999999999,0.144,-0.144,-0.275,-0.013,0.039,-0.919,0.919,0.262,0.242,0.191,3.814
22,CN(Cc1cccc(Cl)c1F)CC1CCCNC1,0.0371535647195872,0.3097600366185959,0.016,0.152,0.136,-0.136,-0.277,0.004,0.033,-0.985,0.985,0.281,0.271,0.1669999999999999,3.562
23,CCN[C@H](C)CNC(=O)CNC(=O)CCC(C)C.Cl,0.0558589697069955,0.315713426811052,0.008,0.138,0.13,-0.13,-0.289,0.029,0.026,-0.973,0.973,0.319,0.29,0.146,3.139
24,CCCCCCCC/C=C/CCCC1CCCC(C)N1,0.0721389194308107,0.2986984906437238,0.003,0.116,0.113,-0.113,-0.279,0.053,0.019,-0.984,0.984,0.332,0.309,0.119,3.01
25,CN1CCN(CCNc2cncc3nnnn23)CC1,0.0170884348116795,0.3191678630955636,0.034,0.185,0.151,-0.151,-0.272,-0.03,0.047,-0.995,0.995,0.242,0.224,0.219,4.132
26,CN(C)CCCN(C)c1ccc(N)cc1Br,0.0444299305103668,0.2819040504094494,0.009,0.128,0.119,-0.119,-0.256,0.019,0.026,-0.675,0.675,0.275,0.25,0.1369999999999999,3.635
27,C#CC(C)N1CCNC(CC)(CC)C1,0.0809587567529679,0.2952440543592122,0.001,0.108,0.107,-0.107,-0.278,0.064,0.017,-0.83,0.83,0.343,0.335,0.11,2.918
28,CC(=O)/C=C(/C)O[C@@H]1NCc2cc(C)ccc2-c2c3ccc4ccccc4c3cc[n+]21,0.0034544362845115,0.1045518215897384,0.014,0.065,0.051,-0.051,-0.087,-0.014,0.017,-0.949,0.949,0.073,-0.107,0.079,13.692
29,COc1ccc(N)c(OC)c1COc1cccc2cc(N=[N+]=[N-])c(C)nc12,0.0168311895564499,0.2957952941918469,0.03,0.17,0.139,-0.139,-0.253,-0.026,0.043,-0.989,0.989,0.227,0.215,0.2,4.408
30,C[n+]1[nH]c2nc1N=C1N=C(NC3=NC(=NC4=NC(=N2)c2ccccc24)c2cc(C(C)(C)C)ccc23)c2ccccc21,0.0093343278326163,0.2086259019911932,0.107,0.207,0.1,-0.1,-0.132,-0.067,0.077,-0.388,0.388,0.065,-0.077,0.314,15.414
31,O=C(NCc1ccc(Cl)cc1)c1cc(NCc2ccc3c(c2)OCO3)ncn1,0.0291422124852944,0.3258562397315328,0.023,0.171,0.148,-0.148,-0.286,-0.011,0.04,-0.905,0.905,0.275,0.251,0.194,3.637
