,smiles,Dissocation energy (nucleofuge),Dissociation energy (electrofuge),Electroaccepting power(w+),Electrodonating power (w-),Electronegativity (chi=-mu),Electronic chemical potential (mu),Electronic chemical potential (mu+),Electronic chemical potential (mu-),Electrophilicity index (w=omega),Global Dual Descriptor Deltaf+,Global Dual Descriptor Deltaf-,Hardness (eta),Hyperhardness (gamma),Net Electrophilicity,Softness (S)
0,NS(=O)(=O)c1ccc(NC(=O)NCc2ccccc2OC(F)F)cc1,0.0300241962175101,0.3544839617063681,0.026,0.1889999999999999,0.162,-0.162,-0.31,-0.015,0.045,-0.518,0.518,0.295,0.28,0.215,3.385
1,CC(C)(C)NCc1cc(Cl)cc(Br)c1,0.0431069549120433,0.3380570146938502,0.016,0.163,0.147,-0.147,-0.303,0.008,0.035,-0.789,0.789,0.311,0.303,0.179,3.212
2,CCC(C)N(C)CC(=O)Nc1ccc(CN)cc1,0.0515225496902682,0.2996907223424664,0.008,0.132,0.124,-0.124,-0.2739999999999999,0.026,0.026,-0.461,0.461,0.3,0.271,0.14,3.335
3,CCC(C)N(C)CC(=O)Nc1ccc(CN)cc1,0.0479211161170541,0.30634234965626,0.01,0.139,0.129,-0.129,-0.278,0.02,0.0279999999999999,-0.522,0.522,0.298,0.289,0.149,3.353
4,CCC(C)N(C)CC(=O)Nc1ccc(CN)cc1,0.0481048627279323,0.3060851044010304,0.01,0.139,0.129,-0.129,-0.278,0.02,0.0279999999999999,-0.519,0.519,0.298,0.289,0.149,3.3510000000000004
5,Cc1cnn(CC(C)NCC(=O)NCCc2cccs2)c1,0.0521472881672544,0.3220343102252647,0.01,0.145,0.135,-0.135,-0.293,0.023,0.0289999999999999,-0.3879999999999999,0.3879999999999999,0.317,0.306,0.155,3.158
6,Cc1cnn(CC(C)NCC(=O)NCCc2cccs2)c1,0.045899903397393,0.3177713888528887,0.012,0.148,0.136,-0.136,-0.287,0.015,0.031,-0.983,0.983,0.303,0.289,0.16,3.304
7,Cc1cnn(CC(C)NCC(=O)NCCc2cccs2)c1,0.0431069549120433,0.3241657709114526,0.0139999999999999,0.155,0.141,-0.141,-0.291,0.01,0.033,-0.993,0.993,0.302,0.293,0.1689999999999999,3.313
8,CNc1cccc(-c2cnc(-c3ccncc3)nc2C2CCN(C(=O)OC(C)(C)C)CC2)c1,0.0142954863263297,0.3322873711122724,0.04,0.1989999999999999,0.159,-0.159,-0.28,-0.038,0.052,-0.974,0.974,0.242,0.218,0.239,4.128
9,CNc1cccc(-c2cnc(-c3ccncc3)nc2C2CCN(C(=O)OC(C)(C)C)CC2)c1,0.0133400039497627,0.3270689673633294,0.04,0.1969999999999999,0.157,-0.157,-0.275,-0.039,0.052,-0.918,0.918,0.236,0.203,0.238,4.232
10,Cc1cc(CN2C(=O)C(C3=NS(=O)(=O)c4c(CNS(C)(=O)=O)cccc43)=C(O)C2C(C)(C)C)ccc1F,0.0013229755983235,0.4020743339238413,0.093,0.293,0.2,-0.2,-0.313,-0.088,0.089,-0.865,0.865,0.225,0.213,0.385,4.45
11,Cc1cc(CN2C(=O)C(C3=NS(=O)(=O)c4c(CNS(C)(=O)=O)cccc43)=C(O)C2C(C)(C)C)ccc1F,0.0011392289874453,0.4006411103589907,0.093,0.293,0.2,-0.2,-0.311,-0.089,0.09,-0.945,0.945,0.222,0.208,0.387,4.496
