,smiles,anchor,Dissocation energy (nucleofuge),Dissociation energy (electrofuge),Electroaccepting power(w+),Electrodonating power (w-),Electronegativity (chi=-mu),Electronic chemical potential (mu),Electronic chemical potential (mu+),Electronic chemical potential (mu-),Electrophilicity index (w=omega),Global Dual Descriptor Deltaf+,Global Dual Descriptor Deltaf-,Hardness (eta),Hyperhardness (gamma),Net Electrophilicity,Softness (S)
0,O=C(O)Cc1cccc(Br)c1F,O9,0.033441883179846,0.3772317921330985,0.027,0.1989999999999999,0.172,-0.172,-0.331,-0.013,0.047,-0.49,0.49,0.318,0.31,0.226,3.148
1,O=C(O)CCN1CCC(Cc2cccc(Nc3ccccn3)n2)CC1,O22,0.0323026541924007,0.3082900637315697,0.018,0.156,0.138,-0.138,-0.273,-0.003,0.035,-0.605,0.605,0.27,0.263,0.175,3.702
2,O=C(O)c1ccc(-c2c[nH]nc2C2CCCN(CCOCc3ccccc3)C2)cc1,O28,0.020983862962299,0.3120017452713109,0.0279999999999999,0.174,0.145,-0.145,-0.2689999999999999,-0.022,0.043,-0.973,0.973,0.247,0.212,0.2019999999999999,4.041
3,O=C(O)C1(Cc2cccc(-c3ccc(F)cc3)c2)CCOCC1,O21,0.0317881636819415,0.3373587775725128,0.023,0.175,0.153,-0.153,-0.297,-0.009,0.04,-0.415,0.415,0.288,0.259,0.198,3.47
4,O=C(O)C1(Cc2ccc(-c3cccnc3)cc2F)CCOCC1,O20,0.0249527897572697,0.2843295056730426,0.021,0.15,0.13,-0.13,-0.249,-0.01,0.035,-0.944,0.944,0.239,0.1939999999999999,0.171,4.186
5,O=C(O)C1(Cc2ccc(-c3ccncc3)cc2F)CCOCC1,O20,0.0236298141589461,0.3613928342753912,0.033,0.2019999999999999,0.1689999999999999,-0.1689999999999999,-0.311,-0.026,0.05,-0.519,0.519,0.285,0.27,0.236,3.51
6,O=C(O)C1(Cc2ccc(-c3ccc(F)c(F)c3)cc2)CCOCC1,O21,0.0285174740083082,0.3422096880996993,0.026,0.183,0.157,-0.157,-0.299,-0.015,0.043,-0.405,0.405,0.284,0.259,0.209,3.52
7,O=C(O)C1(Cc2cccc(-c3ccc(F)c(F)c3)c2)CCOCC1,O21,0.02917896180747,0.3443043994637116,0.026,0.183,0.158,-0.158,-0.301,-0.0139999999999999,0.043,-0.4039999999999999,0.4039999999999999,0.287,0.268,0.209,3.484
8,O=C(O)C1CCN(C(=O)C2CCN(Cc3ccccn3)CC2)C1,O20,0.0414899847363144,0.2968242752127654,0.012,0.14,0.128,-0.128,-0.268,0.012,0.0289999999999999,-0.959,0.959,0.28,0.2339999999999999,0.151,3.57
9,O=C(O)C1CCN(C(=O)c2cccc(Cn3ccnc3)c2)C1,O19,0.0254305309455532,0.3501475416896408,0.03,0.192,0.162,-0.162,-0.303,-0.021,0.047,-0.972,0.972,0.282,0.255,0.222,3.544
10,O=C(O)Cn1cccc(C(=O)NC2CCCC2)c1=O,O16,0.01234777225102,0.3847286538569321,0.053,0.239,0.186,-0.186,-0.32,-0.052,0.065,-0.843,0.843,0.267,0.264,0.293,3.739
11,O=C(O)Cn1cc(C(=O)NC2CCCC2)ccc1=O,O16,0.0239973073807027,0.3338308426436499,0.0289999999999999,0.184,0.155,-0.155,-0.289,-0.021,0.045,-0.525,0.525,0.268,0.231,0.212,3.726
12,O=C(CCc1ccccc1)Nc1ccc(C(=O)O)cc1,O18,0.0237768114476487,0.360033109354892,0.033,0.201,0.168,-0.168,-0.31,-0.026,0.05,-0.511,0.511,0.284,0.271,0.2339999999999999,3.516
13,O=C(O)c1nc(-c2ccccc2)ncc1Br,O12,0.0083788454560493,0.3789590102753542,0.06,0.246,0.185,-0.185,-0.31,-0.06,0.069,-0.685,0.685,0.25,0.231,0.306,3.999
14,O=C(O)CCCC(CCC(=O)O)C(=O)O,O12,0.0631720848199509,0.3888813272627811,0.012,0.175,0.163,-0.163,-0.354,0.0289999999999999,0.035,-0.904,0.904,0.3829999999999999,0.371,0.186,2.613
15,O=C(O)CN(Cc1ccccc1)c1ccccc1,O17,0.0478476174727028,0.2963832833466575,0.009,0.133,0.124,-0.124,-0.27,0.021,0.027,-0.725,0.725,0.291,0.25,0.142,3.434
16,O=CC(=O)c1ccc(C(=O)O)cc1,O10,0.0039689267949707,0.4294525789447042,0.085,0.298,0.213,-0.213,-0.342,-0.084,0.088,-0.662,0.662,0.258,0.249,0.3829999999999999,3.877
17,O=C(O)c1nnc(O)nc1O,O7,0.0112085432635747,0.4289748377564207,0.064,0.273,0.209,-0.209,-0.354,-0.064,0.075,-0.68,0.68,0.289,0.2769999999999999,0.3379999999999999,3.455
18,O=C(O)c1ccccc1Cc1ccc(F)cc1,O15,0.0258347734894854,0.350331288300519,0.03,0.192,0.162,-0.162,-0.304,-0.021,0.046,-0.875,0.875,0.283,0.257,0.221,3.53
19,O=C(O)c1cc([N+](=O)[O-])cc2nc[nH]c12,O11,0.0101428129204807,0.4073294869949599,0.062,0.261,0.1989999999999999,-0.1989999999999999,-0.335,-0.062,0.072,-0.556,0.556,0.273,0.267,0.3229999999999999,3.664
20,O=C(O)Cc1c(C(=O)O)[nH]c2ccc([N+](=O)[O-])cc12,O15,0.0074601124016579,0.3898368096393482,0.065,0.256,0.191,-0.191,-0.317,-0.065,0.072,-0.623,0.623,0.253,0.233,0.321,3.959
21,O=C(O)c1ccc(-c2cccc(C3CCNCC3)n2)cc1,O19,0.0128622627614792,0.35235250102018,0.046,0.216,0.17,-0.17,-0.295,-0.045,0.0579999999999999,-0.994,0.994,0.25,0.239,0.262,4.001
22,O=C(O)c1[nH]c(=O)[nH]c(=O)c1Br,O8,0.0056961449372265,0.4014495954468551,0.073,0.27,0.198,-0.198,-0.324,-0.072,0.078,-0.603,0.603,0.251,0.221,0.3429999999999999,3.978
23,O=C(O)c1c2ccccc2nn1C1CCCc2ccccc21,O20,0.0157654592133559,0.3370280336729319,0.039,0.1989999999999999,0.161,-0.161,-0.285,-0.036,0.052,-0.4320000000000001,0.4320000000000001,0.249,0.231,0.238,4.011
24,O=C(O)CCc1cccc(C2CCCN(CC(=O)O)C2)n1,O18,0.0354263465773314,0.3249007573549657,0.018,0.163,0.145,-0.145,-0.288,-0.001,0.036,-0.923,0.923,0.287,0.248,0.182,3.479
25,O=C(O)c1cccc(CN2CCCCC2c2ccn[nH]2)c1,O19,0.021718849405812,0.3434591650536716,0.033,0.193,0.161,-0.161,-0.295,-0.026,0.048,-0.932,0.932,0.2689999999999999,0.263,0.226,3.719
26,O=C(O)COc1ccc(CN2CCC(c3ccn[nH]3)C2)cc1,O20,0.0426292137237597,0.3263339809198164,0.015,0.156,0.142,-0.142,-0.293,0.009,0.033,-0.952,0.952,0.302,0.296,0.171,3.307
27,O=C(O)c1ccccc1CN1CCC(c2ccn[nH]2)C1,O18,0.0170884348116795,0.3341248372210552,0.036,0.195,0.159,-0.159,-0.284,-0.033,0.05,-0.908,0.908,0.251,0.231,0.231,3.981
28,O=C(O)COc1ccccc1CN1CCCC1CCc1ccncc1,O23,0.0431437042342189,0.3077020745767592,0.012,0.145,0.132,-0.132,-0.278,0.013,0.03,-0.8740000000000001,0.8740000000000001,0.291,0.267,0.157,3.4410000000000003
29,O=C(O)COc1ccc(CN2CCCC2CCc2ccncc2)cc1,O23,0.0435479467781511,0.3138392113800936,0.013,0.148,0.135,-0.135,-0.283,0.013,0.031,-0.877,0.877,0.296,0.281,0.161,3.383
30,O=C(O)CCC(=O)N1CCCC1CCc1ccncc1,O17,0.0422984698241789,0.3620175727523773,0.019,0.179,0.16,-0.16,-0.3229999999999999,0.003,0.039,-0.921,0.921,0.326,0.313,0.198,3.068
31,O=C(O)COc1ccccc1CN1CCCC(Cc2ccccn2)C1,O23,0.0330743899580894,0.2690050383257945,0.013,0.131,0.118,-0.118,-0.241,0.005,0.0279999999999999,-0.835,0.835,0.245,0.206,0.144,4.0760000000000005
32,O=C(O)COc1ccccc1CN1CCOC(c2cnccn2)C1,O21,0.0201018792300832,0.3498535471122355,0.035,0.2,0.165,-0.165,-0.299,-0.03,0.051,-0.994,0.994,0.2689999999999999,0.245,0.236,3.72
33,O=C(O)COc1ccc(CN2CCOC(c3cnccn3)C2)cc1,O21,0.0293994577405239,0.335631559430257,0.024,0.177,0.153,-0.153,-0.294,-0.012,0.042,-0.983,0.983,0.282,0.271,0.2019999999999999,3.548
34,O=C(O)CN1CCOC(c2cnccn2)C1,O13,0.0245485472133375,0.3411807070787809,0.0289999999999999,0.188,0.158,-0.158,-0.296,-0.021,0.046,-0.926,0.926,0.2739999999999999,0.243,0.217,3.644
35,O=C(O)c1ccc(CN2CCC(c3cnccn3)CC2)cc1,O19,0.0230785743263113,0.3267382234637485,0.0289999999999999,0.18,0.152,-0.152,-0.283,-0.021,0.044,-0.964,0.964,0.262,0.221,0.209,3.82
36,O=C(O)c1cccc(CN2CCC(c3cnccn3)CC2)c1,O19,0.0244750485689862,0.329457673304747,0.0279999999999999,0.18,0.152,-0.152,-0.286,-0.019,0.044,-0.956,0.956,0.267,0.2289999999999999,0.208,3.749
