,smiles
0,O=C(O)CSc1ccc(Br)cc1
1,O=C(O)c1ccc(Cl)nc1S
2,O=C/C(Cl)=C(/Cl)C(=O)O
3,O=C(O)C/C=C/CC(=O)O
4,O=C(O)C1CC(Br)(Br)C1
5,O=C(O)C(CS)CS
6,O=C(O)C1CCOC1=O
7,C#CCCC#CC(=O)O
8,N#CNCC(=O)O
9,C=CC(=C)C(=O)O
10,O=C(O)C(F)(F)S
11,O=C(O)c1cnc(Cl)c(C(=O)O)c1
12,O=C(O)COC1CCCCO1
13,O=[S-]CCC(=O)O
14,O=C(O)c1ncccc1I
15,O=C(O)c1cccc(C(=O)O)c1I
16,O=C(O)CC(=O)Cl
17,O=C(O)c1ccc(C(Br)Br)cc1
18,O=C(O)c1cc([15N+](=O)[O-])c(Cl)c([15N+](=O)[O-])c1
19,C#CCOCC(=O)O
20,O=C(O)c1c(F)cc(F)cc1I
21,O=C(O)c1cc(I)c(I)cc1F
22,O=C(O)c1c(I)cc(O)cc1I
23,O=C(O)c1cc(I)c(I)cc1O
24,O=C(O)c1cc(Br)c(F)cc1Br
25,C=CNCC(=O)O
26,O=C(O)C1CS1
27,O=C(O)C1(C2(O)CCC3(CC2)OCCO3)CC1
28,O=C(O)CCCOCCOC1CCCCO1
29,C=CCOCCOCC(=O)O
30,O=C(O)c1cc(O)c(I)c(O)c1
31,O=C(O)c1nccnc1O
32,O=C(O)Cc1ccc(CCl)cc1
33,C#CCC(C(=O)O)C(=O)O
34,N=C(S)C(=O)O
35,O=C(O)CC(=O)Sc1ccccc1
36,O=C(O)c1oc(C(=O)O)c(Cl)c1Cl
37,O=C(O)CCCCCCCCCCCCCCBr
38,O=C(O)COCCCl
39,O=C(O)c1nc(O)ccc1F
40,O=C(O)CC(=O)CCl
41,O=C(O)c1cc(F)c(Br)cc1Br
42,O=C(O)c1nc(Br)ccc1F
43,O=C(O)C=C1OC(=O)c2ccccc21
44,O=C(O)C1CSCN1
45,O=C(O)C(O)(O)C(=O)O
46,C=C1C(C(=O)O)C1C(=O)O
47,O=C(O)c1ncccc1F
48,O=C(O)C=Cc1ccccc1F
49,O=C(O)C=Cc1ccc(F)cc1
50,O=C(O)c1ccnc(C(=O)O)c1
51,O=C(O)C=Cc1ccc2c(c1)OCO2
52,O=C(O)C(Cl)(Cl)Cl
53,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)F
54,O=C(O)c1cc(=O)cc(C(=O)O)[nH]1
55,O=C(O)CC(O)(CC(=O)O)C(=O)O
56,O=C(O)C1CNCCN1
57,O=C(O)c1c(O)cc(O)cc1O
58,O=C(O)C(F)(F)C(F)F
59,O=C(O)C(Br)C(Br)C(=O)O
60,O=C(O)CN(CC(=O)O)CC(=O)O
61,O=C(O)C=Cc1ccco1
62,O=C(O)C1CCN1
63,C=CC=CC(=O)O
64,O=CC(Cl)=C(Cl)C(=O)O
65,O=C(O)C1OC1C(=O)O
66,O=C(O)C[n+]1ccccc1
67,O=C(O)c1cc(O)cc(F)c1
68,O=C(O)c1ccc([N+](=O)[O-])c(O)c1
69,O=C(O)C=CBr
70,O=Cc1ccc(C=CC(=O)O)cc1
71,O=C(O)c1cnc(Cl)nc1
72,O=C(O)C1C=CC=CC1C(=O)O
73,O=C(O)C(=O)c1cccc(Br)c1
74,O=C(O)c1ccc(C(=O)CCl)cc1
75,O=C(O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1
76,O=C(O)c1ccc(C(=O)Cl)cc1
77,O=C(O)/C(Cl)=C/Cl
78,O=C(O)CSc1cccc(SCC(=O)O)c1
79,O=C(O)c1ccc(Br)c(C(F)(F)F)c1
80,O=C(O)Cc1ccc(Cl)cc1Br
81,O=C(O)c1cc(Br)cc(C(=O)O)n1
82,O=C(O)CSc1cccc(Br)c1
83,O=C(O)C(F)(F)I
84,C#CCC(CC#C)C(=O)O
85,O=C(O)c1cc(F)cc(Cl)n1
86,O=C(O)C#CBr
87,O=C(O)COCCBr
88,O=C(O)C1CS(=O)(=O)C1
89,O=C(O)CC(=O)C(F)(F)F
90,O=C(O)c1ccc(Br)cc1I
91,O=C(O)Cc1ccccc1CBr
92,O=C(O)c1c(Cl)cc(O)cc1Cl
93,O=C(O)Cc1cccc(Cl)c1Br
94,O=C(O)C[C@H](Cl)C(=O)O
95,O=C(O)c1cccc(I)c1Br
96,O=C(O)c1c(O)cc(F)cc1O
97,O=C(O)c1ccc([N+](=O)[O-])c([N+](=O)[O-])c1
98,O=C(O)c1cccc([N+](=O)[O-])c1I
99,O=C(O)c1ccc(Br)cc1[N+](=O)[O-]
100,O=C(O)c1ccc(Cl)cc1[N+](=O)[O-]
101,O=C(O)c1cc([N+](=O)[O-])cc(C(F)(F)F)c1
102,O=C(O)c1ccc([N+](=O)[O-])s1
103,O=C(O)c1cc(Br)cc([N+](=O)[O-])c1
104,O=C(O)c1cc(F)ccc1[N+](=O)[O-]
105,O=C(O)c1ncccc1[N+](=O)[O-]
106,O=C(O)C(F)(F)OC(F)(F)F
107,O=C(O)C#CC#CC(=O)O
108,O=C(O)CC1(O)CCC2(CC1)OCCO2
109,O=C(O)C=Cc1ccc(Br)o1
110,O=C(O)c1cnc(Br)cn1
111,O=C(O)c1ccc(Br)c([N+](=O)[O-])c1
112,O=C(O)CC(=O)Oc1ccccc1
113,C=CCSCC(=O)O
114,O=C1CC(C(=O)O)C1
115,O=C(O)C(O)=C(O)C(=O)O
116,O=C(O)CCCCCCCCBr
117,O=C(O)C(Br)CCC(Br)C(=O)O
