,smiles
2,O=C/C(Cl)=C(/Cl)C(=O)O
3,O=C(O)C/C=C/CC(=O)O
4,O=C(O)C1CC(Br)(Br)C1
6,O=C(O)C1CCOC1=O
7,C#CCCC#CC(=O)O
8,N#CNCC(=O)O
9,C=CC(=C)C(=O)O
25,C=CNCC(=O)O
26,O=C(O)C1CS1
28,O=C(O)CCCOCCOC1CCCCO1
29,C=CCOCCOCC(=O)O
31,O=C(O)c1nccnc1O
34,N=C(S)C(=O)O
37,O=C(O)CCCCCCCCCCCCCCBr
38,O=C(O)COCCCl
39,O=C(O)c1nc(O)ccc1F
40,O=C(O)CC(=O)CCl
42,O=C(O)c1nc(Br)ccc1F
44,O=C(O)C1CSCN1
45,O=C(O)C(O)(O)C(=O)O
47,O=C(O)c1ncccc1F
48,O=C(O)C=Cc1ccccc1F
49,O=C(O)C=Cc1ccc(F)cc1
51,O=C(O)C=Cc1ccc2c(c1)OCO2
52,O=C(O)C(Cl)(Cl)Cl
56,O=C(O)C1CNCCN1
58,O=C(O)C(F)(F)C(F)F
71,O=C(O)c1cnc(Cl)nc1
77,O=C(O)/C(Cl)=C/Cl
83,O=C(O)C(F)(F)I
87,O=C(O)COCCBr
88,O=C(O)C1CS(=O)(=O)C1
89,O=C(O)CC(=O)C(F)(F)F
122,N#CCCSCC(=O)O
123,O=C(O)C=CI
124,O=C(O)C(F)(Cl)Cl
125,O=C(O)C(=O)CS
126,O=C(O)C=Cc1ccc(Cl)cc1
130,O=C(O)C1CO1
131,O=C(O)C1C=CCC1
132,O=C1CCC(F)(C(=O)O)CC1
133,O=C(O)CCCCCCCCCCCCCBr
137,O=C(O)/C(Cl)=C\c1ccccc1
143,O=C(O)C(Br)C(=O)O
146,O=C(O)COc1ccc(Br)cc1
147,O=C(O)COc1ccc(Cl)cc1
150,O=C(O)CI
151,O=C(O)C#CC(=O)O
153,C=CC(=O)O
155,O=C(O)C=CC(=O)O
156,O=C(O)CBr
157,C=CCCC(=O)O
159,O=C(O)C(F)(F)F
160,O=C(O)CCBr
163,O=Cc1ccc(C(=O)O)cc1
164,O=C(O)c1ccc(F)cc1
165,O=C(O)c1ccc(O)nc1
166,O=C(O)C=Cc1cccs1
168,O=C(O)CCCl
169,C=CCC(=O)O
176,O=C(O)C(Br)CBr
177,O=C(O)C(F)F
181,O=C(O)CCCCCBr
182,O=C(O)c1ncccc1O
183,O=C(O)c1cc(F)ccc1O
185,O=C(O)c1ccc(Cl)nc1
187,O=C(O)CCCCBr
188,O=C(O)COc1ccccc1
189,O=C(O)c1ccc(CBr)cc1
191,O=C(O)C1CCCN1
193,O=C(O)c1ccoc1
194,O=C(O)C(F)(F)C(F)(F)C(F)(F)F
196,O=C(O)C(=O)CBr
198,O=C(O)CCCBr
199,O=C(O)CCCCCCCCCCBr
201,O=C(O)CCCCCCCCCCCBr
202,O=C(O)CC(=O)C(=O)O
205,C=C(CBr)C(=O)O
209,O=C(O)CCCCCCCBr
221,C#CCCC(=O)O
224,O=C(O)CCCCl
225,O=C(O)c1ccc(O)cc1
226,N#CCC(=O)O
228,O=C(O)C(F)(F)Cl
230,O=C(O)c1ccc(Cl)cc1F
231,O=C(O)c1ccsc1
232,O=C(O)c1cc(F)ccc1F
238,O=CC(=O)O
240,O=C(O)c1ccc(F)cc1F
242,O=C(O)c1ccc(CCl)cc1
243,O=C(O)CCCCCl
244,O=C(O)C(Cl)Cl
246,O=C(O)CS
247,O=C(O)CC(=O)O
248,O=C(O)C=Cc1ccc(O)cc1
249,O=C(O)C1CCC1
253,O=C(O)C1CCCC1
254,O=C(O)C1CC1
261,O=C(O)C(Cl)CCl
265,O=C(O)c1ccc(O)cc1O
267,C=C(Br)C(=O)O
